pde,model,n,grid_size,adaptive,epoch,phase,total,ic,bc,l2,w_pde,w_ic,w_bc
312370.5,MLP,8,,True,300,adam,312524.34375,0.0,7.382505893707275,4.513596057891846,1.0,1.0,20.838548989083815
293341.53125,MLP,8,,True,400,adam,293485.28125,0.0,4.998915195465088,3.5274951457977295,1.0,1.0,28.754694090175434
278060.1875,MLP,8,,True,500,adam,278162.3125,0.0,2.8466880321502686,3.0607376098632812,1.0,1.0,35.879224681157886
263120.1875,MLP,8,,True,600,adam,263307.65625,0.0,4.432735443115234,3.7568302154541016,1.0,1.0,42.2913022130421
255842.78125,MLP,8,,True,700,adam,256043.734375,0.0,4.1812238693237305,3.716705322265625,1.0,1.0,48.06217199173789
248801.6875,MLP,8,,True,800,adam,248966.15625,0.0,3.088165760040283,3.082414388656616,1.0,1.0,53.255954792564104
242025.34375,MLP,8,,True,900,adam,242212.828125,0.0,3.236483573913574,2.941962957382202,1.0,1.0,57.9303593133077
234571.765625,MLP,8,,True,1000,adam,234740.921875,0.0,2.7222139835357666,2.572870969772339,1.0,1.0,62.13732338197693
226152.9375,MLP,8,,True,1100,adam,226315.796875,0.0,2.4703457355499268,3.653169870376587,1.0,1.0,65.92359104377923
223101.5,MLP,8,,True,1200,adam,223319.328125,0.0,3.1417696475982666,5.290719985961914,1.0,1.0,69.3312319394013
220209.328125,MLP,8,,True,1300,adam,220484.328125,0.0,3.798339605331421,6.479742050170898,1.0,1.0,72.39810874546117
216191.140625,MLP,8,,True,1400,adam,216439.453125,0.0,3.3037569522857666,6.657681465148926,1.0,1.0,75.15829787091506
206789.671875,MLP,8,,True,1500,adam,207011.109375,0.0,2.852001905441284,6.317760467529297,1.0,1.0,77.64246808382356
196427.0,MLP,8,,True,1600,adam,196640.328125,0.0,2.670623302459717,6.0630598068237305,1.0,1.0,79.8782212754412
187926.796875,MLP,8,,True,1700,adam,188138.03125,0.0,2.5794243812561035,5.735754013061523,1.0,1.0,81.89039914789709
176353.71875,MLP,8,,True,1800,adam,176599.34375,0.0,2.934523582458496,5.972391605377197,1.0,1.0,83.70135923310738
165920.953125,MLP,8,,True,1900,adam,166226.59375,0.0,3.58174729347229,6.0199360847473145,1.0,1.0,85.33122330979664
155000.875,MLP,8,,True,2000,adam,155318.046875,0.0,3.6540775299072266,6.077817916870117,1.0,1.0,86.79810097881698
142857.359375,MLP,8,,True,2100,adam,143170.078125,0.0,3.5489249229431152,6.372105598449707,1.0,1.0,88.11829088093528
129935.09375,MLP,8,,True,2200,adam,130278.09375,0.0,3.8407421112060547,6.620289325714111,1.0,1.0,89.30646179284174
121138.8046875,MLP,8,,True,2300,adam,121497.65625,0.0,3.9706971645355225,6.5653767585754395,1.0,1.0,90.37581561355758
112078.6796875,MLP,8,,True,2400,adam,112489.65625,0.0,4.499483585357666,6.579030513763428,1.0,1.0,91.33823405220183
102847.1796875,MLP,8,,True,2500,adam,103302.9375,0.0,4.942911148071289,6.5256500244140625,1.0,1.0,92.20441064698164
95813.6875,MLP,8,,True,2600,adam,96285.203125,0.0,5.070947647094727,6.340662956237793,1.0,1.0,92.98396958228348
90256.28125,MLP,8,,True,2700,adam,90707.8828125,0.0,4.82036828994751,6.0420241355896,1.0,1.0,93.68557262405513
84465.4609375,MLP,8,,True,2800,adam,84875.1171875,0.0,4.343357563018799,5.629623889923096,1.0,1.0,94.31701536164961
79079.515625,MLP,8,,True,2900,adam,79468.78125,0.0,4.10247278213501,5.321414947509766,1.0,1.0,94.88531382548464
73328.578125,MLP,8,,True,3000,adam,73707.8671875,0.0,3.975890636444092,5.174710273742676,1.0,1.0,95.39678244293619
67959.390625,MLP,8,,True,3100,adam,68357.59375,0.0,4.15416955947876,5.138112545013428,1.0,1.0,95.85710419864257
